id,coder,citations_2023,year,title,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,N_groups,N_individuals,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice,data,sensor,brand,metric,metric_smaller_category,metric_larger_category,metric_IG_category,metric_IG_specific,data_per_metric,outcome_name,outcome_instrument,outcome_smaller_category,outcome_larger_category,outcome_significance,analysis_and_results,test_type_standard,test_grouped
131,kavie,390,2007,Speakers’ eye gaze disambiguates referring expressions early during face-to-face conversation,"1. Can eye gaze be used in the resolution of temporary ambiguity?
2. What is the time course by which it is integrated with linguistic processing?
3. Does eye gaze serve as an automatic orienting cue, or as a flexible cue?",,"In two experiments, we explored the time course and flexibility with which speakers’ eye gaze can be used to disambiguate referring expressions in spontaneous dialog.",referential communication,"1. near competitor
2. far competitor
3. no competitor","When mirrored displays held far competitors, matchers used directors’ eye gaze to identify targets before the linguistic point of disambiguation. Reversed displays caused substantial competition, yet matchers still identified targets before the linguistic point of disambiguation, showing an ability to rapidly re-map directors’ eye gaze. Our findings indicate eye gaze is a powerful and flexible disambiguating cue in referential communication",G=24, I=48,NS,lab,,,undergraduate students,,,I) Eye Gaze,I) Eye Tracker,I) NS,1) Eye Movements,1) Visual Attention,1) Gaze,1) Individual,1) pure_indiv,1) I,"a) conversational contents
B) orienting effect","a) log data
B) human evaluation","a) communication
B) coordination","a) process
B) process","a) 1
B) 1","1-A: ANOVA->sig
1-B: t-test->sig","ANOVA
t-test","between-group
between-group"
132,kavie,379,2008,Meeting mediator: enhancing group collaboration with sociometric feedback,"1. We hypothesize that MM will encourage meeting participants to modify their behavior to speak more.
2. We posit that participants using MM will be more interactive.
3. We hypothesize that MM, as an ambient and personal display, will not be disruptive to the purpose of the meeting.",,Our system encourages effective group dynamics that may lead to higher performance and satisfaction. We envision MM to be deployed in real-world organizations to improve interactions across various group collaboration contexts.,brainstorming and problem-solving,"1. with MM
2. without MM",,G=37, I=148,real-time,lab,,,university students and general population,,,III) Audio,III) Microphone,III) NS,1) Speech Time,1) Speech Features,1) Verbal,1) Individual,1) pure_indiv,1) III,"a) speaking dynamics
B) group interaction
c) distraction level","a) log data
B) human evaluation
c) human evaluation","a) communication
B) engagement
c) engagement","a) process
B) process
c) process","a)1
B) 1
c) 1","1-A: ANOVA->sig
1-B: ANOVA->sig
1-C: ANOVA->sig","ANOVA
ANOVA
ANOVA","between-group
between-group
between-group"
133,kavie,106,2007,"Using Audio and Video Features to Classify the Most
Dominant Person in a Group Meeting","1. We hypothesise that dominance in
group meetings correlates with high dynamic levels of human
activity, which can be represented by relatively primitive
features extracted from audio and/or video sensor data.",,"The aim of our work is to identify which features are well correlated with the most dominant person in a meeting. We use speaking length and energy, as suggested by [2]. In addition, we also extract features from video since non-verbal cues can also affect perceptions of dominance [9].",design remote control device,NS,"Our work indicates that, for the 34 meeting segments in which the most dominant person was reliably decoded by all annotators, our investigated audio cues were able to classify the most dominant person with relatively good accuracy. Our compressed-domain video features performed less well but still provided some discrimination, when the motion vectors and residual bit-rate measures were combined.",,I=4,NS,eco,,,AMI corpus,,,"III) Audio
IV) Kinesiology","III) Microphone
IV) Camera","III) NS
IV) NS","1) Speech Length
2) Speaking Energy
3) Motion Activity","1) Speech Features
2) Speech Features
3) Gross Body Motion","1) Verbal
2) Verbal
3) Body","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) III
2) III
3) IV",a) dominance,a)assigned,a) group composition,a) process,a) 1/0,"1-A: sup. machine learning: (85%)->sig
2-A: sup. machine learning: (82%)->sig
3-A: sup. machine learning: (62%)->sig","machine learning
machine learning
machine learning","machine-learning
machine-learning
machine-learning"
134,zoe,8,2008,Visual focus of attention estimation from head pose posterior probability distributions,We address the problem of recognizing the visual focus of attention (VFOA) of meeting participants from their head pose and contextual cues. ,,"In this paper, we address the VFOA recognition problem from head pose information. Rather than relying on an estimated head poses defined by a pan and tilt angle, as done in all previous studies on the topic [2], [3], we propose to rely on the posterior probability density function (pdf) of the different head poses given the data to represent the head pose information embedded in the image data.",meeting with lecture ,NS,Numerical experiments on a public database of 4 meetings of 22 min on average show that this change of representation allows for a 5.4% gain with respect to the standard approach using head pose as observation.,G=4, I= 16,NS,eco,,,unknown,,,IV) Kinesiology,IV) Camera,IV) NS,1) Head Pose,1) Head Motion,1) Body,1) Individual,1) pure_indiv,1) IV,a) focus of attention ,"a) human evaluation
",a) coordination,a) process,a) 1,1-A: unsup. machine learning: (53.6%)->sig,machine learning,machine-learning
135,zoe,39,2010,Towards High-Level Human Activity Recognition through Computer Vision and Temporal Logic,"we develop state of the art real-time
computer vision systems to track and identify users, and estimate their
visual focus of attention and gesture activity. We also monitor the users’
speech activity in real time.",,"This paper presents a system
that fuses and interprets the outputs of several computer vision components as well as speech recognition to obtain a high-level understanding
of the perceived scene.","group activity in a room/ meeting, presentation, individual work etc.",NS,"In this paper, we presented our progress towards a framework for high-level human activity recognition.",G=1, I=3,NS,eco,,,actors,,,"II) Video
III) Audio
IV) Kinesiology","II) Camera
III) Microphone
IV) Camera","II) NS
III) NS
IV) NS","1) Focus Of Attention
2) Gestures
3) Speech Features ","1) Visual Attention
2) Gross Body Motion
3) Speech Features ","1) Gaze
2) Body
3) Verbal","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) II
2) IV
3) III",a) group activity,a)human evaluation,a) coordination,a) process,a)1,"1,2,3-A: unsup. machine learning: (74.4%)->sig",machine learning,machine-learning
136,zoe,70,2018,Biosignals reflect pair-dynamics in collaborative work: EDA and ECG study of pair-programming in a classroom environment,"RQ1 Can we extract SPC from HRV variables in a natural protocol?
RQ2 Can windowed HRV be substituted by fast biosignals for examining SPC in a natural protocol?
RQ3 Can the physiological signals with high temporal resolution, found to reflect SPC, be associated with task related emotional valence and engagement?
",,"In this paper we study novel means to characterize collaboration using SPC measured via noisy signals from ANS, in uncontrolled natural settings.",paied programming ,NS," Results suggest that (a) we can isolate cognitive processes (mental workload) from confounding environmental effects, and (b) electrodermal signals show role-specific but correlated affective response profiles. ",G=14, I=28,NS,eco,,,undergraduate students,,,"VI) EDA
VII) ECG","VI) Wearable Sensor
VII) Wearable Sensor","VI) Shimmer 3 Gsr+
VII) Emotion Faros 180",1) Social Physiological Compliance,1) Combined,1) Physiological,1) Individual,1) pure_indiv,"1) VI, VII",a) task performance,a) log data ,a) performance,a) product,a) 1,1-A: minimum-width envelope->sig,minimum-width envelope,between-group
137,zoe,2,2022,"Toward Automated Detection of Phase Changes in Team Collaboration
"," how the BERT NLP model performs in a teamcommunicationcategorization task, in comparison to ground truth measures.",,,collaborative problem solving,"1. experimenter-participants 
2. participants only","Results suggest  BERT’s  capabilitiesat  phase  change  detectionare promisingfor  experienced  teams,  though  further  iteration  is needed on the methods in the current study",G=4, I =8,NS,lab,,,psychology pool (general population),,,III) Audio,III) Microphone,III) NS,1) Speech Features,1) Speech Features,1) Verbal,1) Individual,1) pure_indiv,1) III,a) coordination,a) human evaluation,a) coordination,a) process,a) 0,1-A: sup. machine learning: (40%)->non,machine learning,machine-learning
138,zoe,8,1999,Modeling People's Focus of Attention,we present an approach to model focus of attention of participants in a meeting via hidden Markov models (HMM),,The ob jective of this research is to track the focus of attention of participants in a meeting.,,NS,"The system has achieved
an accuracy rate of up to 93 % in detecting focus of
attention on test sequences taken from meetings.",G=1, I =4,NS,eco,,,unknown,,,IV) Kinesiology,IV) Camera,IV) NS,1) Head Rotation,1) Head Motion,1) Body,1) Individual,1) pure_indiv,1) IV,a) focus of attention ,"a) human evaluation
",a) coordination,a) process,a) 1,1-A: unsup. machine learning: (93%)->sig,machine learning,machine-learning
139,kavie,156,2001,Socialphysiological compliance as a determinant of team performance,"1. if compliance in electrodermal activity EDA , heart rate or breathing in two-person teams was predictive of team performance or coordination in a continuous tracking task simulating teleoperation.",,The overall goal of the present research on physiological compliance was to develop an objective means to assess team work andor team coordination that could be used to guide human factors design and the evaluation of sociotechnical systems.,simulate telemanipulation of heavy objects under microgravity condition,"1. visual contact
2. no visual contact",Heart cross correlation showed the strongest predictive relationships. These results provide evidence that physiological compliance among team members may benefit team performance.,G=16, I=32,NS,lab,,,undergraduate students,,,"VI) EDA
VII) ECG
XII) Other","VI) Wearable Sensor, Wristband
VII) ECG
XII) Other","VI) NS
VII) NS
XII) NS",1) Physiological Compliance ,1) Combined,1) Physiological,1) Individual,1) pure_indiv,"1) VI, VII, XII","a) task performance
B) task performance
c) coordination","a) task outcome
B) human evaluation
c) human evaluation","a) performance
B) performance
c) coordination","a) product
B) product
c) process","a) 1
B) 0
c) 0","1-A: regression->sig
1-B: regression->non
1-C: regression->non","regression
regression
regression","correlation_regression
correlation_regression
correlation_regression"
140,kavie,32,2011,Modelling Symmetry of Activity as an Indicator of Collocated Group Collaboration,"Based on different rules of combination of metrics including talking time, Gini coefficient of verbal participation, number of touches, and the gini coefficient of the quantity of touches, different modes of group collaboration can be modeled. ",,Our approach exploits the digital and audio footprints of the users' actions at collocated settings to automatically build a model of symmetry of activity.,create concept map,NS,Our evaluation demonstrates that both amount and symmetry of verbal and physical participation are good indicators of collaborative and non-collaborative moments.,G=19, I=57,NS,eco,,,university students,,,"III) Audio
V) Log Data","III) Microphone
V) Log Data","III) NS
V) NS","1) Verbal Participation
2) Physical Participation","1) Speech Features
2) Task-Related","1) Verbal
2) Log Data","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) III
2) V",a) collaboration,a) human evaluation,a) coordination,a) process,"a) 0
","1,2-A: unsup. machine learning: (60%)->sig",machine learning,machine-learning
141,kavie,32,2012,"Estimating conversational dominance in multiparty interaction
","1. We will establish a computational model for the estimation of conversational dominance based on automatically obtained audio and visual data, and we will propose a fully automatic dominance estimation method.",,This paper proposes a method for estimating the conversational dominance of participants in group interactions.,discuss and decide where participants would like to go out to enjoy a weekend,NS,"By exploiting the speech and gaze data as estimation parameters, we created a regression model to estimate conversational dominance, and the multiple correlation coefficient of this model was 0.85.",G=3, I=12,NS,lab,,,unknown,,,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) NS
III) NS","1) Amount Of Eye Gaze At Others
2) Amount Of Mutual Gaze
3) Amount Of Speech
4) Breaking A Silence","1) Visual Attention
2) Visual Attention
3) Speech Features
4) Speech Participation","1) Gaze
2) Gaze
3) Verbal
4) Verbal","1) Group
2) Group
3) Individual
4) Group","1) indiv_freq_in_group
2) synchro
3) pure_indiv
4) indiv_freq_in_group","1) I
2) I
3) III
4) III",a) dominance,a) survey,a) interpersonal relationship,a) process,a) 1,"1,2,3,4-A: regression->sig",regression,correlation_regression
142,bertrand,0,2025,"Impact of eye movements and facial expressions on social performance
during a collaborative problem-solving task","RQ1: Is social performance related to individual characteristics
such as anxiety and alexithymia tendencies? We investigate
whether the findings of Hamet Bagnou et al. (2022), where social
performance is associated with anxiety tendencies, also appear in our
study. We have one hypothesis: participants with high tendencies of
anxiety or alexithymia will have low SPRS scores.
RQ2: Are behavioral signals related to individual characteristics?
Based on previous studies, we set hypotheses for eye movements
and facial expressions. For eye movements, we have two
hypotheses: participants with high anxiety tendencies will look at
their conversation partners less, and participants with high alexithymia
tendencies will also look at their conversation partners less.
For facial expressions, we have two hypotheses: participants with
high anxiety tendencies will show low AU1, AU2, AU4, AU6, and
AU12 intensities, and participants with high alexithymia tendencies
will show the same intensities.
RQ3: Are behavioral signals related to social performance?
Based on the above research questions, we set hypotheses for eye
movements and facial expressions. For eye movements, we have one
hypothesis: participants who look at their conversation partners less
will have low SPRS scores. For facial expressions, we have one hypothesis:
participants who show low AU1, AU2, AU4, AU6, and
AU12 intensities will have low SPRS scores.",,"we analyzed the eye movements and facial expressions of pairs of
participants working on a collaborative problem-solving task online. "," task in which two participants collaborated in a discussion
about a survival situation. The task discussed items necessary for survival,
assuming a situation where a plane crash-landed on a mountain
(Hall & Watson, 1970; Hamet Bagnou et al., 2022). ",NS,"Our eye movement analysis showed that the
lower the percentage of looking at the conversation partner is and the higher the percentage of looking outside is,
the lower is the social performance. Our facial expression analysis showed that the lower the intensity of
expression is in inner brow raiser, the cheek raiser, and the lip corner puller, the lower is the social performance.",G=25,I=50,NS,lab,,,unknown (japanese participants),,,I) Eye Gaze,I) Eye Tracker,I) Tobii Pro Fusion,1) Amount Of Eye Gaze at face AOIs,1) Visual Attention,1) Gaze,1) Individual,1) pure_indiv,1) I,"a) task performance
b) anxiety","a) human evaluation
b) survey","a) performance
b) affective ","a) product
b) process","a) 1
b) 1","1-A: correlation->sig
1-B: correlation->sig",correlation,correlation_regression
143,bertrand,16,2023,"Stressed or engaged? Addressing the mixed significance of
physiological activity during constructivist learning","1. How do individual and group EDA features differ across direct instruction and subsequent hands-on task?
2. How are EDA features associated with behavioral engagement and learning gains?
3. How well can learning gains and behavioral engagement be predicted with a combination of individual and group EDA features?",,"The current paper qualifies previous assumptions on the link between physiology and learner
states during constructivist learning, employing a study design where electrodermal activity data
(EDA) is collected across two distinctive pedagogies – direct instruction and hands-on learning.",learning to program a micro-controller,SGV,"Our results are surprising in that higher arousal during hands-on learning is not indicative of
higher learning gains, nor is the strength of the EDA response clearly different when transitioning
across pedagogies. However, qualitative investigations show that varying sources of physiological
arousal likely to be present in hands-on learning, such as stress, may have led to this mixed
connection between EDA and learning during hands-on learning. Moreover, identical tests for the
direct instruction section show that higher EDA during this more passive form of learning is
indeed indicative of higher learning gains. Our machine learning prediction models achieved fair
performance for both learning gains and engagement, providing support for the use of physiological
data in gauging and supporting learner states despite its polysemy. ",G=80,I=96,real-time,lab,,,English-speaking adults between the ages of 18 and 38,,,VI) EDA,"VI) Wearable Sensor, Wristband",VI) Empatica E4,"1) individual electrodermal activity
2) physiological synchrony","1) EDA
2) EDA","1) Physiological
2) Physiological","1) Individual
2) Group","1) pure_indiv
2) synchro","1) VI
2) VI","a) learning gains
b) engagement","a) survey
b) human evaluation","a) learning
b) engagement","a) product
b) process","a) 1
b) 0","1-A: correlation->sig
2-A: correlation->sig
1-B: correlation->nonsig
2-B: correlation->nonsig
1,2-A: sup. machine learning->sig
1,2-B: sup. machine learning->sig","correlation
machine learning",machine-learning
144,bertrand,0,2024,Using Pose Data to Explore Changes in Students’ Self-Efficacy and Community Belonging in Makerspaces," The contribution of this paper is to explore whether quantitative measures from pose data can be
used to study self-efficacy and community belonging in makerspaces. ",,"Because makerspaces are open-ended, messy
learning environments, understanding why some students have transformative experiences,
while others do not, remains a challenge. In this paper, we explore how multimodal learning
analytics can provide a complementary lens to quantify and visualize students’ learning
trajectories.",makerspace course,NS,"We found that simple pose features were not very informative (possibly because of their
inability to reflect finer-grained relationships that exist for different student features and temporal details) but
using unsupervised machine learning methods revealed some prototypical states that could indicate self-efficacy
growth and becoming part of a community.",N/A,I=18,NS,eco,,,"students from a course on digital fabrication at a graduate school of education of a private
U.S. university",,,IV) Kinesiology,IV) Camera,IV) NS,"1) individual space usage
2) clustered body pose","1) Gross Body Motion
2) Gross Body Motion","1) Body
2) Body","1) Individual
2) Individual","1) pure_indiv
2) pure_indiv","1) IV
2) IV","a) self-effcacy gain
b) community belonging gain
c) enjoyment
d) stress","a) survey
b) survey
c) survey
d) survey","a) learning
B) interpersonal relationship
c) affective
d) affective","a) product
B) process
c) process
d) process","a) 1
B) 1","1-A: correlation->nonsig
1-B: correlation->sig
1-C: correlation->nonsig
1-D: correlation->nonsig
2-A: correlation->sig
2-B: correlation->sig
2-C: correlation->sig
2-D: correlation->sig",correlation,correlation_regression
145,bertrand,1,2024,"Is Seeing the Instructor’s Face or Gaze in Online
Videos Helpful for Learning?","RQ1. Do videos augmented with the instructor’s face (Instructor Presence) and/or gaze (Shared Gaze Visualizations)
have a positive effect on student learning?
RQ2. Does joint visual attention mediate learning?",,"students are expected to spend more and more time watching videos. These videos tend to follow a widespread
format: a screen recording of slides with a picture-in-picture (PiP) image of the instructor’s face. While this format
is ubiquitous, there is mixed evidence that it supports student learning. In this paper, we explore alternative formats
for designing educational videos.",online learning course,SGV,"we found that showing the instructor’s face had no
significant effect on learning, while adding the instructor’s eye-tracking data to the video promoted conceptual
understanding of the material. Mediation analysis showed that joint visual attention played a significant mediatory
role for learning. ",N/A,I=52,real-time,eco,,,"students from a course at a graduate school of education of a private
U.S. university""",,,I) Eye Gaze,I) Eye Tracker,I) NS,1) Joint Visual Attention,1) Visual Attention,1) Gaze,1) Group,2) synchro,1) I,a) learning,a) survey,a) learning,a) product,a) 1,"1-A: correlation->sig
1-A: ANOVA->sig",,
146,bertrand,0,2025,Exploring how shared gaze visualizations support remote one-on-one teaching A mixed method study.pdf,"We aim to: (1) identify gaze patterns linked to learning,
(2) compare these patterns across visual augmentation
conditions, and (3) examine their impact from a
teaching perspective.",,"We aim to: (1) identify gaze patterns linked to learning,
(2) compare these patterns across visual augmentation
conditions, and (3) examine their impact from a
teaching perspective.",programming a micro=controller,SGV,"Joint visual attention correlated with learning
gains during instruction and with instructors’ predictions
of learner success in practice. Video analysis
revealed three key affordances of SGVs: (1) tracking
learners’ cognitive states, (2) using gaze as deictic
gestures, and (3) providing just-in-time support.",G=80,I=96,real-time,lab,,,English-speaking adults between the ages of 18 and 38,,,I) Eye Gaze,I) Eye Tracker,I) Tobii Glasses,"1) Joint Visual Attention
2) Cognitive Load From Pupil Size
3) Individual attention","1) Visual Attention
2) Eye Physiology
3) visual attention","1) Gaze
2) Gaze
3) Gaze","1) Group
2) Individual
3) Individual","1) synchro
2) pure_indiv
3) pure_indiv","1) I
2) I
3) I","a) learning
b) learning prediction
c) perceived understanding
d) instructor effectiveness
e) engagement","a) survey
b) human evaluation
c) human evaluation
d) human evaluation
e) human evaluation","a) learning
b) learning
c) learning
d) interpersonal relationship
e) engagement","a) product
b) product
c) product
d) process
e) process",a) 1,"3-D: correlation->sig
2-E: correlation->sig
2-C: correlation->sig
2-A: correlation->sig
1-C: correlation->sig
1-A: correlation->sig
1-B: correlation->sig
1-A: ANOVA->sig
1-B: ANOVA->sig",correlation,correlation_regression
147,bertrand,1,2025,"Should medical teachers spend more time modelling or
coaching students? A dual eye-tracking and randomised
controlled study on peer instruction in sonography","When first introducing medical procedures, instructors must decide
how much of their limited time must be allocated between modelling (demonstrate
and explain) and coaching (scaffold and support) students. Given the time constraints
in clinical routine, it is currently unknown which relative proportion of modelling ver-
sus coaching is more efficient for procedural learning.",,,sonography training,"We randomly assigned 73 students without prior knowledge to either an
extended modelling (EM) or an extended coaching (EC) group for an emergency
sonography training.","On post-tests, the EC group outperformed the EM group by 12% in inter-
preting dynamic sonographic imagery ( p= 0.014). They completed the ultrasound
examinations 7% faster ( p= 0.050). There was no statistical difference between the
two groups in interpreting static sonographic imagery ( p= 0.322) nor in practical
scores ( p= 0.062). Contrary to expectations, there were no differences between the
groups in terms of eye movement metrics that explained the performance effects.
However, two behavioural variables were positively related with learning outcomes
across both groups: the percentage of joint visual attention between teacher and stu-
dent (β= 0.316, p < 0.001) and the number of words spoken during the training
(β= 0.175, p= 0.004).",N/A,I=73,NS,eco,,,medical students,,,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Pupil Glasses
III) NS","1) Joint Visual Attention
2) Amount Of Speech","1) Visual Attention
2) Speech Features","1) Gaze
2) Verbal","1) Group
2) Individual","1) synchro
2) pure_indiv","1) I
2) III",a) learning,a) survey,a) learning,a) process,a) 1,"1-A: correlation->sig
2-A: correlation->sig",correlation,correlation_regression
148,bertrand,1,2025,"How Distractions Undermine Attentional Synchronisation
in Work-­ Based Learning: A Randomised Controlled Study
Using Dual Mobile Eye-­ Tracking","Research in social cognition suggests that learning effectiveness in teacher-­ learner pairs may be influenced by
how well their attention aligns with each other. However, we currently have limited understanding of how common distractions
in real-­ world environments affect teacher-­ student interactions, specifically the synchronisation of their visual attention.",,,," This randomised controlled study investigates the impact of distractions on attentional synchronisation, learning
performance, and cognitive load during training. ","The distraction group demonstrated lower attentional synchronisation, compared to the control group (Mean = 41.59% ± 6.89% [SD] vs. 50.96% ± 10.59%; Bonferroni-­ corrected t(27) = −2.84, p = 0.008, Cohen's d = 1.06). This reduction in attentional synchronisation was accompanied by significantly poorer practical and visual performances (d = 0.87 and 0.62), longer task completion times (d 2.05), and higher intrinsic and extraneous cognitive loads (d 1.09 and 1.04).",N/A,I=29,NS,eco,,,medical students,,,I) Eye Gaze,I) Eye Tracker,I) Tobii Glasses,1) Joint Visual Attention,1) Visual Attention,1) Gaze,1) Group,1) synchro,1) I,"a) task performance
b) cognitive load
c) completion time","a) human evaluation
b) human evaluation
c) human evaluation","a) learning
b) engagement
c) performance","a) process
b) process
c) product",,"1-A: correlation->sig
1-B: correlation->sig
1-C: correlation->sig",correlation,correlation_regression
149,bertrand,12,2023,"Age differences in interbrain synchronization during
peer cooperation: an EEG hyperscanning study","The present study compared the age differences between adolescents and adults
by examining the behavior and interbrain synchronization of pairs in a cooperative computer game task. ",,"Healthy peer relationships could provide emotional and social support for adolescents experiencing dramatic physical and environ-
mental changes. Examining age differences in cognitive neural processing during peer interaction provides insight into adolescent
interpersonal contact and “social brain” development. ",computer game task,NS,Correlation analysis indicated a positive correlation between occipital region interbrain synchronization and behavioral performance.,G=63,I=126,NS,lab,,,unknown,,,VIII) EEG ,VIII) EEG Sensor,VIII) BrainAmp,1) Brain Waves Patterns ,1) Brain,1) Physiological,1) Individual,1) pure_indiv,1) VIII,a) task performance,a) log data ,a) performance,a) product,a) 1,1-A: correlation->sig,correlation,correlation_regression
150,bertrand,0,2024,"Multi-level Team Coordination Dynamics during Simulation-Based Medical Team
Training",,,"Team coordination is essential for effective performance
during critical, stressful events. To better understand processes
and states involved at multiple levels of team coordination, we
assessed the correspondence between low- and high-level
coordination in teams participating in simulation-based
medical team training. ",,NS,"Our findings showed that, compared to periods without
annotated coordination, explicit- and implicit- information
coordination corresponded to significantly different low-level
team coordination across each of the studied modalities.",G=14,I=103,NS,eco,,,"Teams ranged from five to seven
members, all employed in an obstetrics and gynecology
department. Each team consisted of nurses, a resident, and a
gynecologist",,,VI) EDA,"VI) Wearable Sensor, Wristband",VI) Empatica E4,"1) individual electrodermal activity
2) arm movement","1) EDA
2) Gross body motion","1) Physiological
2) Body","1) Individual
2) Group","1) pure_indiv
2) synchro","1) VI
2) VI","a) team and task work
b) team adaptive performance
c) team potency
d) perceived stress
e) task performance 
f) coordination","a) survey
b) survey
c) survey
d) survey
e) human evaluation
f) human evaluation","a) performance
b) performance
c) performance
d) performance
e) performance
f) coordination","a) product
b) product
c) product
d) product
e) product
f) process",f) 1,"1-F: regression->sig
2-F: regression->sig",regression,correlation_regression
151,bertrand,20,2024,"Detecting non‑verbal speech and gaze behaviours
with multimodal data and computer vision to interpret
effective collaborative learning interactions","1) 2) What meaningful group interactions can be detected from machine observable
nonverbal gaze and speech behaviours from video and audio data of students’
face-to-face collaborative learning?
What are the variations in detected gaze and speech behaviours of groups with
different collaborative learning outcomes?",,"Effective collaborative learning requires meaning-
ful interactions among individuals in a group. Recent advances in multimodal
data collection tools and AI provide unique opportunities to analyze, model and
support these interactions. This study proposes an original method to identify
group interactions in real-world collaborative learning activities and investigates
the variations in interactions of groups with different collaborative learning out-
comes.","The study was conducted in a 10-week long post-graduate course involv-
ing 34 students with data collected from groups’ weekly collaborative learning
interactions lasting
~
60 min per session. ",NS,"The results showed that groups with dif-
ferent levels of shared understanding exhibit significant differences in time spent
and maximum duration of referring and following behaviours. Further analysis
using process mining techniques revealed that groups with different outcomes
exhibit different patterns of group interactions.",,i=34,NS,eco,,,graduate students,,,"I) Eye Gaze
III) Audio","I) Video
III) Video","I) Intel RealSense camera
III) Intel RealSense camera","1) Gaze behavior
2) Speaking behavior","1) Visual Attention
2) Speech Features","1) Gaze
2) Verbal","1) Individual
2) Individual","1) pure_indiv
2) pure_indiv","1) I
2) III","a) Shared understanding
b) self-satisfaction
c) quality of the product","a) survey
b) survey
c) human evaluation","a) learning
b) affective
c) performance","a) process
b) process
c) product",,"1,2-A: Mann-Whitney U test->sig
1,2-B: Mann-Whitney U test->sig
1,2-C: Mann-Whitney U test->nonsig","Mann-Whitney
Mann-Whitney","between-group
between-group"
152,bertrand,0,2025,"In Sync or Out of Sync? Understanding Stress and Learning
Performance in Collaborative Healthcare Simulations
through Physiological Synchrony and Arousal","RQ1 – To what extent do individual-level physiological synchrony and arousal
serve as indicators of students’ perceived stress and learning performance satis-
faction, after accounting for individual and group differences?
• RQ2 – To what extent do group-level physiological synchrony and arousal serve
as indicators of students’ perceived stress and learning performance satisfaction,
after accounting for individual and group differences?
• RQ3 – How do educators interpret the relationships between students’ physiolog-
ical synchrony and arousal with their stress levels, task performance satisfaction,
and collaboration performance satisfaction?",,"Physiological synchrony and arousal are increasingly utilised to understand students’
affective and cognitive states, such as stress, which can influence their learning per-
formance and satisfaction in collaborative settings. However, it remains uncertain
whether these physiological indicators can meaningfully reflect students’ stress and
learning performance satisfaction during embodied collaborative learning (ECL).",medical simulation,NS,"Results indicate that physiological synchrony is a significant indicator of students’ per-
ceived stress and collaboration performance satisfaction, while physiological arousal
is a significant indicator of task performance satisfaction, even after accounting for
individual and group differences. ",,I=172,NS,eco,,,medical students,,,VI) EDA,"VI) Wearable Sensor, Wristband",VI) Empatica E4,"1) individual electrodermal activity
2) physiological synchrony","1) EDA
2) EDA","1) Physiological
2) Physiological","1) Individual
2) Group","1) pure_indiv
2) synchro","1) VI
2) VI","a) perceived stress
b) collaboration performance satisfaction
c) task performance satisfaction","a) survey
b) survey
c) survey","a) affective
b) coordination
c) performance","a) process
b) process
c) product",,"2-A: regression->sig
2-B: regression->sig
1-C: regression->sig",regression,correlation_regression
153,bertrand,13,2023,"Physiological Synchrony Predict Task Performance and
Negative Emotional State during a Three-Member
Collaborative Task",,,"In this research work, we investigate the relationship be-
tween outcomes of different methods to quantify physiological synchrony, emotional state, and team
performance of three-member teams performing a collaborative team task. The proposed research
work employs dyadic-level linear (cross-correlation) and team-level non-linear (multidimensional
recurrence quantification analysis) synchrony calculation measures to quantify task performance
and the emotional state of the team. ",,NS,"Our investigation indicates that the physiological synchrony
estimated using multidimensional recurrence quantification analysis revealed a significant nega-
tive relationship between the subjectively reported frustration levels and overall task performance.
However, no relationship was found between cross-correlation-based physiological synchrony and
task performance. ",G=17,I=42,NS,lab,,,unknown,,,VI) EDA,"VI) Wearable Sensor, Wristband",VI) Polar H10 sensors,1) physiological synchrony (heart beat),1) Heart rate,1) Physiological,1) Group,1) synchro,1) VI,"a) reported frustration
b) task performance","a) survey
b) log data","a) affective
b) performance","a) process
b) product",,"1-A: regression->sig
1-B: regression->sig
1-C: regression->nonsig",regression,correlation_regression
